업태별,시도,시군구,연령별,(전체)당월,(전체)전월,(전체)전년동월,(개인)당월,(개인)전월,(개인)전년동월,(법인)당월,(법인)전월,(법인)전년동월
농·임·어업,서울특별시,종로구,30세 미만,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,종로구,30세 이상,3,3,3,0,0,0,0,0,0
농·임·어업,서울특별시,종로구,40세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,종로구,50세 이상,5,5,4,0,0,0,3,3,0
농·임·어업,서울특별시,종로구,60세 이상,8,8,10,0,0,0,6,6,6
농·임·어업,서울특별시,종로구,70세 이상,5,5,4,0,0,0,4,4,3
농·임·어업,서울특별시,중구,30세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,중구,40세 이상,3,3,3,0,0,0,0,0,0
농·임·어업,서울특별시,중구,50세 이상,3,3,3,0,0,0,3,3,3
농·임·어업,서울특별시,중구,60세 이상,5,5,5,0,0,0,5,5,5
농·임·어업,서울특별시,중구,70세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,용산구,30세 미만,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,용산구,30세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,용산구,40세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,용산구,50세 이상,3,4,3,0,0,0,3,3,3
농·임·어업,서울특별시,용산구,60세 이상,4,4,5,0,0,0,0,0,0
농·임·어업,서울특별시,용산구,70세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,성동구,30세 미만,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,성동구,30세 이상,4,4,0,3,3,0,0,0,0
농·임·어업,서울특별시,성동구,40세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,성동구,50세 이상,4,4,3,0,0,0,0,0,0
농·임·어업,서울특별시,성동구,60세 이상,5,5,6,0,0,0,3,3,5
농·임·어업,서울특별시,성동구,70세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,광진구,30세 미만,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,광진구,30세 이상,4,4,4,0,0,0,3,3,0
농·임·어업,서울특별시,광진구,40세 이상,7,8,8,4,5,5,3,3,3
농·임·어업,서울특별시,광진구,50세 이상,9,9,7,7,7,5,0,0,0
농·임·어업,서울특별시,광진구,60세 이상,8,8,9,0,0,0,7,7,7
농·임·어업,서울특별시,광진구,70세 이상,7,7,6,0,0,0,5,5,4
농·임·어업,서울특별시,동대문구,30세 이상,4,4,3,3,3,3,0,0,0
농·임·어업,서울특별시,동대문구,40세 이상,3,3,3,0,0,0,0,0,0
농·임·어업,서울특별시,동대문구,50세 이상,3,3,3,0,0,0,3,3,3
농·임·어업,서울특별시,동대문구,60세 이상,4,4,4,0,0,0,0,0,0
농·임·어업,서울특별시,동대문구,70세 이상,5,5,6,4,4,4,0,0,0
농·임·어업,서울특별시,중랑구,30세 미만,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,중랑구,30세 이상,3,3,5,3,3,5,0,0,0
농·임·어업,서울특별시,중랑구,40세 이상,5,5,4,0,0,0,3,3,3
농·임·어업,서울특별시,중랑구,50세 이상,6,6,5,5,5,4,0,0,0
농·임·어업,서울특별시,중랑구,60세 이상,10,10,8,8,8,8,0,0,0
농·임·어업,서울특별시,중랑구,70세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,성북구,30세 미만,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,성북구,30세 이상,3,0,0,3,0,0,0,0,0
농·임·어업,서울특별시,성북구,40세 이상,4,4,5,0,0,0,3,3,3
농·임·어업,서울특별시,성북구,50세 이상,3,3,3,0,0,0,0,0,0
농·임·어업,서울특별시,성북구,60세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,성북구,70세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,강북구,30세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,강북구,60세 이상,3,3,3,0,0,0,0,0,0
농·임·어업,서울특별시,강북구,70세 이상,3,3,3,0,0,0,0,0,0
농·임·어업,서울특별시,도봉구,30세 미만,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,도봉구,30세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,도봉구,40세 이상,4,4,4,4,4,4,0,0,0
농·임·어업,서울특별시,도봉구,50세 이상,7,7,8,4,4,5,3,3,3
농·임·어업,서울특별시,도봉구,60세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,도봉구,70세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,노원구,30세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,노원구,40세 이상,3,3,3,0,0,0,0,0,0
농·임·어업,서울특별시,노원구,50세 이상,8,8,7,4,4,3,4,4,4
농·임·어업,서울특별시,노원구,60세 이상,5,5,3,4,4,0,0,0,0
농·임·어업,서울특별시,노원구,70세 이상,7,7,5,3,3,0,4,4,3
농·임·어업,서울특별시,은평구,30세 미만,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,은평구,30세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,은평구,40세 이상,5,5,6,4,4,4,0,0,0
농·임·어업,서울특별시,은평구,50세 이상,5,5,4,0,0,0,3,3,3
농·임·어업,서울특별시,은평구,60세 이상,9,9,10,5,5,5,4,4,5
농·임·어업,서울특별시,은평구,70세 이상,4,4,4,4,4,4,0,0,0
농·임·어업,서울특별시,서대문구,30세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,서대문구,50세 이상,8,8,7,5,5,5,3,3,0
농·임·어업,서울특별시,서대문구,60세 이상,4,4,4,0,0,0,4,4,4
농·임·어업,서울특별시,서대문구,70세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,마포구,30세 미만,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,마포구,30세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,마포구,40세 이상,6,5,4,4,3,0,0,0,0
농·임·어업,서울특별시,마포구,50세 이상,8,9,9,3,3,3,5,6,6
농·임·어업,서울특별시,마포구,60세 이상,6,6,6,3,3,3,3,3,3
농·임·어업,서울특별시,마포구,70세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,양천구,30세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,양천구,40세 이상,6,6,4,5,5,3,0,0,0
농·임·어업,서울특별시,양천구,50세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,양천구,60세 이상,6,6,5,3,3,0,3,3,3
농·임·어업,서울특별시,양천구,70세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,강서구,30세 이상,9,9,6,9,9,6,0,0,0
농·임·어업,서울특별시,강서구,40세 이상,15,14,9,7,6,5,8,8,4
농·임·어업,서울특별시,강서구,50세 이상,7,6,9,5,4,4,0,0,0
농·임·어업,서울특별시,강서구,60세 이상,9,9,6,6,6,4,3,3,0
농·임·어업,서울특별시,강서구,70세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,구로구,30세 이상,4,4,3,3,3,3,0,0,0
농·임·어업,서울특별시,구로구,40세 이상,4,4,5,0,0,0,3,3,3
농·임·어업,서울특별시,구로구,50세 이상,8,8,12,0,0,0,7,7,9
농·임·어업,서울특별시,구로구,60세 이상,12,12,12,7,7,7,5,5,5
농·임·어업,서울특별시,구로구,70세 이상,3,3,3,0,0,0,0,0,0
농·임·어업,서울특별시,금천구,30세 미만,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,금천구,30세 이상,0,0,0,0,0,0,0,0,0
농·임·어업,서울특별시,금천구,40세 이상,4,4,3,3,3,0,0,0,0
농·임·어업,서울특별시,금천구,50세 이상,5,5,5,0,0,0,5,5,3
농·임·어업,서울특별시,금천구,60세 이상,3,3,4,0,0,0,3,3,3
농·임·어업,서울특별시,금천구,70세 이상,0,0,0,0,0,0,0,0,0
